award_id_piid,contract_award_unique_key,recipient_name,description,total_obligation,first_action_date,psc_description,state,usaspending_url,sam_piid_url,sam_solicitation_url,doc_url,doc_local_path
140P3025P0027,CONT_AWD_140P3025P0027_1443_-NONE-_-NONE-,"GUARDIAN FIRE PROTECTION SERVICES, LLC",CON OPS NATIONAL ROCK CREEK PARK - REPAIRS TO FITZGERALD TENNIS CTR. ALARM,28454.00,2025-07-02,MAINT/REPAIR/REBUILD OF EQUIPMENT- FIRE CONTROL EQUIPMENT,DC,https://www.usaspending.gov/award/CONT_AWD_140P3025P0027_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0027&index=co,,,
140P3025P0029,CONT_AWD_140P3025P0029_1443_-NONE-_-NONE-,FIVE STAR PORTABLES INC,GWMP - BELLE HAVEN C/S REPAIRS,5000.00,2025-07-24,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",VA,https://www.usaspending.gov/award/CONT_AWD_140P3025P0029_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0029&index=co,,,
140P3025P0034,CONT_AWD_140P3025P0034_1443_-NONE-_-NONE-,"KAIVA SERVICES, LLC",NACE - KENILWORTH AG BIO-HAZARDOUS CLEAN UP,4800.00,2025-08-27,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DC,https://www.usaspending.gov/award/CONT_AWD_140P3025P0034_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0034&index=co,,,
140P3026P0007,CONT_AWD_140P3026P0007_1443_-NONE-_-NONE-,"KAIVA SERVICES, LLC",NATIONAL CAPITAL PARKS EAST (NACE) - EMERGENCY WATERLINE REPAIRS FT DUPONT,95135.04,2026-04-21,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,DC,https://www.usaspending.gov/award/CONT_AWD_140P3026P0007_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3026P0007&index=co,,,
140P4226P0005,CONT_AWD_140P4226P0005_1443_-NONE-_-NONE-,"W & H RESOURCES, INC.",REPAIR & REPLACE ELEVATOR SAFETY COMPONE,6557.36,2026-04-09,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ROPE, CABLE, CHAIN, AND FITTINGS",VA,https://www.usaspending.gov/award/CONT_AWD_140P4226P0005_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P4226P0005&index=co,,,
140P4525C0018,CONT_AWD_140P4525C0018_1443_-NONE-_-NONE-,THERMAL DYNAMICS INC.,EDIS GLENMONT BOILER REPLACEMENT,39970.65,2025-07-17,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",NJ,https://www.usaspending.gov/award/CONT_AWD_140P4525C0018_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P4525C0018&index=co,,,
140P4525P0009,CONT_AWD_140P4525P0009_1443_-NONE-_-NONE-,ASSOCIATED FIRE PROTECTION INC,EDIS FIRE SYSTEM REPAIRS,3305.00,2025-05-22,HOUSEKEEPING- FIRE PROTECTION,NJ,https://www.usaspending.gov/award/CONT_AWD_140P4525P0009_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P4525P0009&index=co,,,
140P5125P0004,CONT_AWD_140P5125P0004_1443_-NONE-_-NONE-,H & H MECHANICAL CORPORATION,"RENTAL OF BOILER UNIT - REMOVE AND DISPOSE OF THE EXISTING 500K BTU BOILER AND SUPPLY A TEMPORARY OUTDOOR RATED BOILER AND NECESSARY PLUMBING AT THE VISITOR CENTER. THE CONTRACTOR SHALL SUPPLY A BOILER UNIT, PIPING, AND ELECTRICAL UPGRADES WHERE NECE",12645.00,2025-02-24,"LEASE OR RENTAL OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",IA,https://www.usaspending.gov/award/CONT_AWD_140P5125P0004_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5125P0004&index=co,,,
140P5125P0055,CONT_AWD_140P5125P0055_1443_-NONE-_-NONE-,"HEAD'S PLUMBING SALES & SERVICE, INC.","SERVICE, PLUMBING EMERGENCY LEAK REPAIR, NPS, MARTIN LUTHER KING NATIONAL HISTORICAL PARK, MALU",10854.00,2025-06-05,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",GA,https://www.usaspending.gov/award/CONT_AWD_140P5125P0055_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5125P0055&index=co,,,
140P5126P0031,CONT_AWD_140P5126P0031_1443_-NONE-_-NONE-,"E. SMITH HEATING & AIR CONDITIONING, INC.","THIS PROJECT WILL INSTALL THREE (3) HEATING, VENTILATION, AIR-CONDITIONING (HVAC) UNITS. WORK WILL INCLUDE INTEGRATION WITH PORTIONS OF THE EXISTING DUCTWORK SYSTEM, INSTALLATION OF ELECTRICAL DISCONNECTS, REFRIGERANT LINES, CONTROLS, AND COMMISSIONI",61161.00,2026-05-13,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),GA,https://www.usaspending.gov/award/CONT_AWD_140P5126P0031_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5126P0031&index=co,,,
